id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
15166,36569,31.5425,-88.0893,NULL,Saint Stephens,saint-stephens,AL,Alabama,alabama
15167,36571,30.8428,-88.0955,NULL,Saraland,saraland,AL,Alabama,alabama
15168,36572,30.8584,-88.0604,NULL,Satsuma,satsuma,AL,Alabama,alabama
15169,36574,30.5152,-87.4807,NULL,Seminole,seminole,AL,Alabama,alabama
15170,36575,30.769,-88.2727,NULL,Semmes,semmes,AL,Alabama,alabama
15171,36576,30.5264,-87.7664,NULL,Silverhill,silverhill,AL,Alabama,alabama
15172,36577,30.6799,-87.9975,NULL,Spanish Fort,spanish-fort,AL,Alabama,alabama
15173,36578,30.7477,-87.7788,NULL,Stapleton,stapleton,AL,Alabama,alabama
15174,36579,31.1066,-87.7984,NULL,Stockton,stockton,AL,Alabama,alabama
15175,36580,30.4818,-87.7005,NULL,Summerdale,summerdale,AL,Alabama,alabama
15176,36581,31.3732,-87.9613,NULL,Sunflower,sunflower,AL,Alabama,alabama
15177,36582,30.5105,-88.1734,NULL,Theodore,theodore,AL,Alabama,alabama
15178,36583,31.3553,-88.1977,NULL,Tibbie,tibbie,AL,Alabama,alabama
15179,36584,31.1982,-88.3806,NULL,Vinegar Bend,vinegar-bend,AL,Alabama,alabama
15180,36585,31.3885,-88.0755,NULL,Wagarville,wagarville,AL,Alabama,alabama
15181,36587,30.8426,-88.3549,NULL,Wilmer,wilmer,AL,Alabama,alabama
15182,36590,30.5318,-88.1743,NULL,Theodore,theodore,AL,Alabama,alabama
15183,36601,30.6895,-88.0439,NULL,Mobile,mobile,AL,Alabama,alabama
15184,36602,30.6936,-88.0455,NULL,Mobile,mobile,AL,Alabama,alabama
15185,36603,30.6906,-88.0437,NULL,Mobile,mobile,AL,Alabama,alabama
15186,36604,30.6822,-88.0682,NULL,Mobile,mobile,AL,Alabama,alabama
15187,36605,30.6079,-88.0898,NULL,Mobile,mobile,AL,Alabama,alabama
15188,36606,30.6708,-88.1063,NULL,Mobile,mobile,AL,Alabama,alabama
15189,36607,30.6986,-88.1058,NULL,Mobile,mobile,AL,Alabama,alabama
15190,36608,30.6817,-88.2945,NULL,Mobile,mobile,AL,Alabama,alabama
15191,36609,30.6609,-88.1632,NULL,Mobile,mobile,AL,Alabama,alabama
15192,36610,30.7363,-88.0729,NULL,Mobile,mobile,AL,Alabama,alabama
15193,36611,30.7704,-88.0781,NULL,Mobile,mobile,AL,Alabama,alabama
15194,36612,30.7538,-88.1125,NULL,Mobile,mobile,AL,Alabama,alabama
15195,36613,30.8118,-88.181,NULL,Eight Mile,eight-mile,AL,Alabama,alabama
15196,36615,30.6332,-88.0682,NULL,Mobile,mobile,AL,Alabama,alabama
15197,36616,30.7245,-88.0815,NULL,Mobile,mobile,AL,Alabama,alabama
15198,36617,30.7164,-88.096,NULL,Mobile,mobile,AL,Alabama,alabama
15199,36618,30.7359,-88.1734,NULL,Mobile,mobile,AL,Alabama,alabama
15200,36619,30.5965,-88.1979,NULL,Mobile,mobile,AL,Alabama,alabama
15201,36625,30.658865,-88.177975,NULL,Mobile,mobile,AL,Alabama,alabama
15202,36628,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15203,36630,30.658865,-88.177975,NULL,Mobile,mobile,AL,Alabama,alabama
15204,36633,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15205,36640,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15206,36641,30.5965,-88.3604,NULL,Mobile,mobile,AL,Alabama,alabama
15207,36644,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15208,36652,30.743,-88.0669,NULL,Mobile,mobile,AL,Alabama,alabama
15209,36660,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15210,36663,30.8219,-88.2257,NULL,Mobile,mobile,AL,Alabama,alabama
15211,36670,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15212,36671,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15213,36675,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15214,36685,30.6788,-88.1991,NULL,Mobile,mobile,AL,Alabama,alabama
15215,36688,30.6962,-88.1824,NULL,Mobile,mobile,AL,Alabama,alabama
15216,36689,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15217,36691,30.6833,-88.044,NULL,Mobile,mobile,AL,Alabama,alabama
15218,36693,30.6266,-88.1499,NULL,Mobile,mobile,AL,Alabama,alabama
15219,36695,30.6301,-88.2807,NULL,Mobile,mobile,AL,Alabama,alabama
15220,36701,32.4768,-87.0571,NULL,Selma,selma,AL,Alabama,alabama
15221,36702,32.386,-87.0125,NULL,Selma,selma,AL,Alabama,alabama
15222,36703,32.4326,-86.9107,NULL,Selma,selma,AL,Alabama,alabama
15223,36720,32.1585,-87.3467,NULL,Alberta,alberta,AL,Alabama,alabama
15224,36721,32.048079,-87.26226,NULL,Annemanie,annemanie,AL,Alabama,alabama
15225,36722,32.0915,-87.5735,NULL,Arlington,arlington,AL,Alabama,alabama
15226,36723,32.0677,-87.2851,NULL,Boykin,boykin,AL,Alabama,alabama
15227,36726,31.9733,-87.291,NULL,Camden,camden,AL,Alabama,alabama
15228,36727,31.9213,-88.008,NULL,Campbell,campbell,AL,Alabama,alabama
15229,36728,32.1679,-87.4794,NULL,Catherine,catherine,AL,Alabama,alabama
15230,36732,32.4234,-87.9152,NULL,Demopolis,demopolis,AL,Alabama,alabama
15231,36736,32.0595,-87.7772,NULL,Dixons Mills,dixons-mills,AL,Alabama,alabama
15232,36738,32.4266,-87.6193,NULL,Faunsdale,faunsdale,AL,Alabama,alabama
15233,36740,32.6273,-87.8402,NULL,Forkland,forkland,AL,Alabama,alabama
15234,36741,32.0029,-86.9738,NULL,Furman,furman,AL,Alabama,alabama
